PSI	Metadata
TCGA-RP-A693-06A-13R-A311-07.bed	TCGA-RP-A693
TCGA-ER-A19O-06A-11R-A18S-07.bed	TCGA-ER-A19O
TCGA-FS-A4FB-06A-11R-A266-07.bed	TCGA-FS-A4FB
TCGA-EE-A2GE-06A-11R-A18T-07.bed	TCGA-EE-A2GE
TCGA-EE-A2A2-06A-11R-A18T-07.bed	TCGA-EE-A2A2
TCGA-FR-A44A-06A-11R-A24X-07.bed	TCGA-FR-A44A
TCGA-EE-A2MC-06A-12R-A18S-07.bed	TCGA-EE-A2MC
TCGA-EE-A182-06A-11R-A18T-07.bed	TCGA-EE-A182
TCGA-ER-A195-06A-11R-A18U-07.bed	TCGA-ER-A195
TCGA-EE-A3AB-06A-11R-A18S-07.bed	TCGA-EE-A3AB
TCGA-D3-A2JA-06A-11R-A18T-07.bed	TCGA-D3-A2JA
TCGA-FS-A1ZP-06A-11R-A18T-07.bed	TCGA-FS-A1ZP
TCGA-DA-A1I2-06A-21R-A18U-07.bed	TCGA-DA-A1I2
TCGA-BF-A3DJ-01A-11R-A20F-07.bed	TCGA-BF-A3DJ
TCGA-D3-A3C1-06A-12R-A18S-07.bed	TCGA-D3-A3C1
TCGA-EE-A2A6-06A-11R-A18T-07.bed	TCGA-EE-A2A6
TCGA-EE-A2MH-06A-11R-A18S-07.bed	TCGA-EE-A2MH
TCGA-W3-A824-06A-21R-A352-07.bed	TCGA-W3-A824
TCGA-D3-A2JE-06A-11R-A37K-07.bed	TCGA-D3-A2JE
TCGA-DA-A3F5-06A-11R-A20F-07.bed	TCGA-DA-A3F5
TCGA-ER-A2NE-06A-21R-A18T-07.bed	TCGA-ER-A2NE
TCGA-D9-A1JX-06A-11R-A18S-07.bed	TCGA-D9-A1JX
TCGA-D3-A8GP-06A-11R-A37K-07.bed	TCGA-D3-A8GP
TCGA-DA-A95Z-06A-11R-A37K-07.bed	TCGA-DA-A95Z
TCGA-ER-A199-06A-11R-A18T-07.bed	TCGA-ER-A199
TCGA-FS-A1ZZ-06A-11R-A18S-07.bed	TCGA-FS-A1ZZ
TCGA-W3-AA1W-06A-11R-A38C-07.bed	TCGA-W3-AA1W
TCGA-D3-A3MO-06A-11R-A21D-07.bed	TCGA-D3-A3MO
TCGA-EB-A5FP-01A-11R-A27Q-07.bed	TCGA-EB-A5FP
TCGA-EE-A2GH-06A-11R-A18T-07.bed	TCGA-EE-A2GH
TCGA-WE-AAA0-06A-11R-A38C-07.bed	TCGA-WE-AAA0
TCGA-WE-A8K4-01A-12R-A37K-07.bed	TCGA-WE-A8K4
TCGA-D3-A1QA-06A-11R-A18T-07.bed	TCGA-D3-A1QA
TCGA-D3-A5GU-06A-11R-A27Q-07.bed	TCGA-D3-A5GU
TCGA-FS-A4FC-06A-11R-A24X-07.bed	TCGA-FS-A4FC
TCGA-FS-A1Z3-06A-11R-A18T-07.bed	TCGA-FS-A1Z3
TCGA-QB-AA9O-06A-11R-A39D-07.bed	TCGA-QB-AA9O
TCGA-OD-A75X-06A-12R-A32P-07.bed	TCGA-OD-A75X
TCGA-EE-A2MT-06A-11R-A18S-07.bed	TCGA-EE-A2MT
TCGA-3N-A9WB-06A-11R-A38C-07.bed	TCGA-3N-A9WB
TCGA-D9-A148-06A-11R-A18S-07.bed	TCGA-D9-A148
TCGA-D3-A1QB-06A-11R-A18T-07.bed	TCGA-D3-A1QB
TCGA-GN-A268-06A-11R-A18T-07.bed	TCGA-GN-A268
TCGA-FS-A4F8-06A-11R-A266-07.bed	TCGA-FS-A4F8
TCGA-DA-A95V-06A-11R-A37K-07.bed	TCGA-DA-A95V
TCGA-D3-A2J9-06A-11R-A18T-07.bed	TCGA-D3-A2J9
TCGA-D3-A51E-06A-11R-A266-07.bed	TCGA-D3-A51E
TCGA-EE-A29E-06A-11R-A18T-07.bed	TCGA-EE-A29E
TCGA-EE-A2GD-06A-11R-A18T-07.bed	TCGA-EE-A2GD
TCGA-FW-A3TU-06A-11R-A239-07.bed	TCGA-FW-A3TU
TCGA-FS-A1ZW-06A-12R-A18T-07.bed	TCGA-FS-A1ZW
TCGA-GF-A4EO-06A-12R-A24X-07.bed	TCGA-GF-A4EO
TCGA-DA-A1IB-06A-11R-A18S-07.bed	TCGA-DA-A1IB
TCGA-D3-A1Q4-06A-11R-A18T-07.bed	TCGA-D3-A1Q4
TCGA-GN-A4U4-06A-11R-A32P-07.bed	TCGA-GN-A4U4
TCGA-D3-A8GN-06A-11R-A37K-07.bed	TCGA-D3-A8GN
TCGA-ER-A196-01A-11R-A18T-07.bed	TCGA-ER-A196
TCGA-D3-A51R-06A-11R-A266-07.bed	TCGA-D3-A51R
TCGA-EB-A3HV-01A-11R-A21D-07.bed	TCGA-EB-A3HV
TCGA-EE-A2GM-06B-11R-A18S-07.bed	TCGA-EE-A2GM
TCGA-EB-A4OZ-01A-12R-A266-07.bed	TCGA-EB-A4OZ
TCGA-D3-A2JP-06A-11R-A18S-07.bed	TCGA-D3-A2JP
TCGA-EE-A2GL-06A-11R-A18S-07.bed	TCGA-EE-A2GL
TCGA-DA-A95W-06A-11R-A37K-07.bed	TCGA-DA-A95W
TCGA-YD-A9TB-06A-12R-A40A-07.bed	TCGA-YD-A9TB
TCGA-D3-A2J8-06A-11R-A18T-07.bed	TCGA-D3-A2J8
TCGA-GF-A6C9-06A-11R-A311-07.bed	TCGA-GF-A6C9
TCGA-EE-A17Z-06A-11R-A18S-07.bed	TCGA-EE-A17Z
TCGA-EE-A2M6-06A-12R-A18S-07.bed	TCGA-EE-A2M6
TCGA-EE-A29W-06A-11R-A18U-07.bed	TCGA-EE-A29W
TCGA-GN-A26D-06A-11R-A18T-07.bed	TCGA-GN-A26D
TCGA-BF-A1PV-01A-11R-A18U-07.bed	TCGA-BF-A1PV
TCGA-D9-A6E9-06A-12R-A311-07.bed	TCGA-D9-A6E9
TCGA-DA-A1I8-06A-11R-A18T-07.bed	TCGA-DA-A1I8
TCGA-EE-A3J5-06A-11R-A20F-07.bed	TCGA-EE-A3J5
TCGA-D3-A8GS-06A-12R-A37K-07.bed	TCGA-D3-A8GS
TCGA-Z2-A8RT-06A-11R-A37K-07.bed	TCGA-Z2-A8RT
TCGA-EE-A2GP-06A-11R-A18S-07.bed	TCGA-EE-A2GP
TCGA-D3-A5GN-06A-11R-A27Q-07.bed	TCGA-D3-A5GN
TCGA-FS-A1ZA-06A-11R-A18T-07.bed	TCGA-FS-A1ZA
TCGA-D3-A8GC-06A-11R-A37K-07.bed	TCGA-D3-A8GC
TCGA-ER-A2ND-06A-11R-A18T-07.bed	TCGA-ER-A2ND
TCGA-BF-A1Q0-01A-21R-A18S-07.bed	TCGA-BF-A1Q0
TCGA-FS-A4F0-06A-11R-A24X-07.bed	TCGA-FS-A4F0
TCGA-ER-A1A1-06A-11R-A18U-07.bed	TCGA-ER-A1A1
TCGA-ER-A19T-06A-11R-A18U-07.bed	TCGA-ER-A19T
TCGA-EE-A29R-06A-11R-A18T-07.bed	TCGA-EE-A29R
TCGA-FS-A1ZJ-06A-12R-A18S-07.bed	TCGA-FS-A1ZJ
TCGA-D3-A3C3-06A-12R-A18S-07.bed	TCGA-D3-A3C3
TCGA-EB-A44P-01A-11R-A266-07.bed	TCGA-EB-A44P
TCGA-FS-A4F9-06A-11R-A24X-07.bed	TCGA-FS-A4F9
TCGA-FR-A8YC-06A-11R-A37K-07.bed	TCGA-FR-A8YC
TCGA-D3-A8GJ-06A-11R-A37K-07.bed	TCGA-D3-A8GJ
TCGA-EB-A97M-01A-11R-A38C-07.bed	TCGA-EB-A97M
TCGA-D3-A2JO-06A-11R-A18S-07.bed	TCGA-D3-A2JO
TCGA-D9-A3Z4-01A-11R-A239-07.bed	TCGA-D9-A3Z4
TCGA-FS-A1Z4-06A-11R-A18T-07.bed	TCGA-FS-A1Z4
TCGA-D3-A1Q7-06A-11R-A18T-07.bed	TCGA-D3-A1Q7
TCGA-BF-A5EP-01A-12R-A27Q-07.bed	TCGA-BF-A5EP
TCGA-WE-A8ZO-06A-11R-A37K-07.bed	TCGA-WE-A8ZO
TCGA-DA-A1I5-06A-11R-A18T-07.bed	TCGA-DA-A1I5
TCGA-W3-A828-06A-11R-A352-07.bed	TCGA-W3-A828
TCGA-D3-A2JN-06A-11R-A18S-07.bed	TCGA-D3-A2JN
TCGA-D3-A1Q8-06A-11R-A18T-07.bed	TCGA-D3-A1Q8
TCGA-EE-A3JA-06A-11R-A20F-07.bed	TCGA-EE-A3JA
TCGA-W3-A825-06A-11R-A352-07.bed	TCGA-W3-A825
TCGA-ER-A19N-06A-11R-A18S-07.bed	TCGA-ER-A19N
TCGA-EE-A180-06A-11R-A21D-07.bed	TCGA-EE-A180
TCGA-BF-AAP7-01A-11R-A40A-07.bed	TCGA-BF-AAP7
TCGA-EE-A2MU-06A-21R-A18S-07.bed	TCGA-EE-A2MU
TCGA-WE-A8ZX-06A-11R-A37K-07.bed	TCGA-WE-A8ZX
TCGA-EE-A2GT-06A-12R-A18S-07.bed	TCGA-EE-A2GT
TCGA-EB-A24D-01A-11R-A18T-07.bed	TCGA-EB-A24D
TCGA-DA-A1HV-06A-21R-A18S-07.bed	TCGA-DA-A1HV
TCGA-EE-A29N-06A-12R-A18S-07.bed	TCGA-EE-A29N
TCGA-D3-A5GL-06A-11R-A27Q-07.bed	TCGA-D3-A5GL
TCGA-EE-A17X-06A-11R-A18S-07.bed	TCGA-EE-A17X
TCGA-EB-A4OY-01A-11R-A266-07.bed	TCGA-EB-A4OY
TCGA-EE-A3AC-06A-11R-A18S-07.bed	TCGA-EE-A3AC
TCGA-XV-A9W2-01A-11R-A39D-07.bed	TCGA-XV-A9W2
TCGA-BF-A3DL-01A-11R-A20F-07.bed	TCGA-BF-A3DL
TCGA-DA-A1I0-06A-11R-A20F-07.bed	TCGA-DA-A1I0
TCGA-DA-A95X-06A-11R-A37K-07.bed	TCGA-DA-A95X
TCGA-FS-A1ZU-06A-12R-A18T-07.bed	TCGA-FS-A1ZU
TCGA-GF-A769-01A-32R-A32P-07.bed	TCGA-GF-A769
TCGA-GN-A26A-06A-11R-A18T-07.bed	TCGA-GN-A26A
TCGA-ER-A19S-06A-11R-A18U-07.bed	TCGA-ER-A19S
TCGA-EB-A431-01A-11R-A266-07.bed	TCGA-EB-A431
TCGA-BF-AAOX-01A-11R-A39D-07.bed	TCGA-BF-AAOX
TCGA-EE-A181-06A-11R-A18S-07.bed	TCGA-EE-A181
