uid	tcga_cs_4942_01a_bed	tcga_cs_4944_01a_bed	tcga_dh_a66b_01a_bed	tcga_du_6400_01a_bed	tcga_du_6410_01a_bed	tcga_du_7012_01a_bed	tcga_du_8158_01a_bed	tcga_du_a5tu_01a_bed	tcga_e1_5307_01a_bed	tcga_ez_7264_01a_bed	tcga_fg_8188_01a_bed	tcga_fg_a60k_01a_bed	tcga_fn_7833_01a_bed	tcga_ht_7689_01a_bed	tcga_ht_7856_01a_bed	tcga_ht_7884_01b_bed	tcga_ht_8105_01a_bed	tcga_ht_8107_01a_bed	tcga_ht_8109_01a_bed	tcga_ht_8564_01a_bed	tcga_ht_a5rc_01a_bed	tcga_ht_a618_01a_bed
LAS1L:ENSG00000001497:E11.2-E13.1|ENSG00000001497:E11.2-I11.1_65522493	0.44	0.55	0.44	0.27	0.26	0.55	0.55	0.35	0.38	0.13	0.52	0.22	0.38	0.42	0.22	0.17	0.1	0.22	0.34	0.38	0.31	0.33
ST7:ENSG00000004866:E4.6-E9.1|ENSG00000004866:E1.8-E9.1	0.38	0.29	0.52	0.54	0.82	0.15	0.12	0.41	0.41	0.5	0.42	0.55	0.43	0.41	0.72	0.36	0.51	0.63	0.67	0.37	0.13	0.46
NFIX:ENSG00000008441:E1.2-E17.2|ENSG00000008441:E15.2-E17.2	0.28	0.39	0.24	0.2	0.14	0.52	0.48	0.33	0.29	0.19	0.3	0.31	0.42	0.26	0.27	0.21	0.18	0.3	0.28	0.69	0.62	0.35
NISCH:ENSG00000010322:E23.3-E24.1|ENSG00000010322:E23.3-E25.2	0.13	0.28	0.22	0.14	0.13	0.24	0.17	0.25	0.16	0.13	0.15	0.17	0.15	0.15	0.16	0.23	0.18	0.23	0.14	0.22	0.23	0.23
LRRC23:ENSG00000010626:E5.11-E6.1|ENSG00000010626:E5.7-E6.1	0.06	0.13	0.17	0.07	0.02	0.53	0.66	0.19	0.1	0.02	0.13	0.0	0.09	0.07	0.16	0.05	0.09	0.06	0.02	0.04	0.24	0.16
LRRC23:ENSG00000010626:E5.7-E6.1|ENSG00000010626:E5.11-E6.1	0.81	0.79	0.67	0.84	0.94	0.34	0.22	0.66	0.83	0.86	0.64	0.88	0.71	0.84	0.67	0.88	0.77	0.63	0.87	0.74	0.63	0.78
BID:ENSG00000015475:E3.4-E5.1|ENSG00000015475:E4.2-E5.1	0.36	0.28	0.29	0.32	0.17	0.35	0.46	0.14	0.13	0.17	0.2	0.31	0.24	0.19	0.26	0.15	0.19	0.18	0.21	0.47	0.29	0.14
ATP2C1:ENSG00000017260:E5.8-E7.1|ENSG00000017260:E1.3-E7.1	0.81	0.88	0.81	0.97	0.97	0.68	0.75	0.74	0.87	0.99	0.93	0.93	0.73	0.94	0.93	0.81	0.91	0.81	0.88	0.9	0.78	0.81
ATP2C1:ENSG00000017260:E1.3-E7.1|ENSG00000017260:E5.8-E7.1	0.12	0.06	0.12	0.02	0.01	0.26	0.14	0.07	0.07	0.0	0.03	0.04	0.08	0.02	0.05	0.02	0.01	0.17	0.09	0.07	0.17	0.14
BCLAF1:ENSG00000029363:E12.5-E13.1|ENSG00000029363:E12.5-E14.1	0.94	0.88	0.9	0.94	0.88	0.85	0.79	0.9	0.9	0.93	0.94	0.96	0.88	0.88	0.94	0.94	0.95	0.94	0.92	0.88	0.86	0.93
BCLAF1:ENSG00000029363:E13.1-E14.1|ENSG00000029363:E12.5-E14.1	0.93	0.84	0.89	0.91	0.85	0.82	0.75	0.85	0.88	0.92	0.94	0.95	0.86	0.84	0.94	0.93	0.95	0.94	0.89	0.86	0.82	0.91
MAP4:ENSG00000047849:E30.1-E31.1|ENSG00000047849:E28.2-E31.1	0.56	0.51	0.63	0.56	0.67	0.8	0.74	0.56	0.48	0.58	0.48	0.5	0.55	0.54	0.49	0.58	0.61	0.61	0.47	0.54	0.76	0.56
MAP4:ENSG00000047849:E29.1-E30.1|ENSG00000047849:E28.2-E31.1	0.59	0.53	0.68	0.55	0.61	0.82	0.76	0.6	0.53	0.61	0.49	0.53	0.54	0.57	0.42	0.58	0.57	0.45	0.48	0.53	0.78	0.6
MAP4:ENSG00000047849:E28.2-E29.1|ENSG00000047849:E28.2-E31.1	0.52	0.45	0.61	0.49	0.51	0.72	0.68	0.57	0.47	0.54	0.42	0.47	0.49	0.49	0.38	0.52	0.46	0.37	0.4	0.5	0.7	0.52
TRAF3IP2:ENSG00000056972:E6.1-E7.1|ENSG00000056972:E5.1-E7.1	0.81	0.64	0.86	0.48	0.93	0.48	0.0	0.74	0.73	0.84	0.81	0.6	0.74	0.73	0.47	0.78	0.54	0.19	0.67	0.71	0.34	0.54
TRAF3IP2:ENSG00000056972:E5.1-E7.1|ENSG00000056972:E6.1-E7.1	0.18	0.36	0.08	0.5	0.03	0.52	1.0	0.17	0.22	0.15	0.19	0.31	0.22	0.16	0.53	0.22	0.35	0.81	0.24	0.29	0.66	0.37
STAG3:ENSG00000066923:I39.1-E40.1|ENSG00000066923:E37.5-E41.1	0.98	0.95	0.95	0.97	0.94	0.86	0.65	0.92	0.96	0.99	0.94	0.95	0.92	0.99	0.97	0.94	0.97	0.97	0.93	0.95	0.98	0.89
STAG3:ENSG00000066923:E40.1-I40.1|ENSG00000066923:E37.5-E41.1	0.98	0.94	0.95	0.95	0.92	0.85	0.56	0.92	0.95	0.98	0.93	0.93	0.88	0.98	0.95	0.95	0.96	0.95	0.92	0.93	0.98	0.84
STAG3:ENSG00000066923:E39.16-I39.1|ENSG00000066923:E37.5-E41.1	0.98	0.95	0.96	0.97	0.93	0.84	0.69	0.93	0.97	0.99	0.93	0.95	0.9	0.99	0.96	0.94	0.96	0.95	0.93	0.93	0.98	0.86
STAG3:ENSG00000066923:I28.1-E29.1|ENSG00000066923:E28.4-E29.1	0.87	0.92	0.92	0.88	0.91	0.75	0.59	0.85	0.91	0.8	0.75	0.83	0.85	0.77	0.92	0.85	0.91	0.85	0.83	0.78	0.72	0.83
